name,lon,lat,code,fclass,osm_id
مسجد ملّا اسماعیل,54.36316606565358,31.895873497630774,3300,muslim,207024439
مسجد شهید ساداتی,54.3838294171825,31.82984692558054,3302,muslim_shia,286701621
مسجد حظیره,54.371269165155745,31.8979069469909,3302,muslim_shia,295970832
حسینه گازرگاه,54.373771061753004,31.89388055923944,3300,muslim,295984072
مسجد دانشگاه علوم پزشکی,54.34025242768616,31.843144196044324,3302,muslim_shia,364539943
مسجد ولایت,54.36610212669081,31.826712282421855,3302,muslim_shia,364575611
,54.35108278416181,31.83995719499154,3300,muslim,364583129
,54.38294090000001,31.8998451,3300,muslim,364627352
,54.383797349999995,31.90215475,3300,muslim,366061652
مسجد جامع یزد,54.368510626939,31.901437456800053,3302,muslim_shia,5705856
مسجد امام حسن عسکری,54.36668886030001,31.834367835325345,3302,muslim_shia,384626647
مسجد ابوالفضل ع,54.35583595109634,31.849790534508163,3302,muslim_shia,424129246
مسجد امام صادق ع,54.35801378647827,31.841781214191005,3302,muslim_shia,425415746
مسجد امام حسین (ع),54.395969948385314,31.812862383075085,3302,muslim_shia,439702158
مسجد جامع رحمت اباد,54.40181043934521,31.81871112058552,3302,muslim_shia,439703683
مسجد امیر چخماق,54.368627020452074,31.893650934634955,3302,muslim_shia,554487582
مصلی یزد,54.366956374464195,31.894990135718487,3300,muslim,554487584
امامزاده فاضل,54.36965598790486,31.896609899869986,3302,muslim_shia,554489920
حسینیه کوی میرقطب,54.363166052479045,31.895066514913204,3300,muslim,554537741
مسجد الرضا,54.38033069787557,31.84644383529903,3302,muslim_shia,595867616
مسجد,54.363661919039856,31.819246585733488,3302,muslim_shia,596792184
مسجد و مجتمع فرهمگی مذهبی امام علی,54.324444722429625,31.844951069676455,3300,muslim,623073411
کنیسه ملا آقا بابا ملا حیدر,54.36761126184371,31.900130571153237,3200,jewish,17437312
مسجد بیاق خان بازار,54.36782154843397,31.896080490676496,3302,muslim_shia,17437313
name,lon,lat,code,fclass,osm_id
بقعه سید رکن الدین,54.3697805,31.9010423,3300,muslim,2171811327
مسجد فاطمیه,54.3763754,31.8942159,3302,muslim_shia,2997107797
امامزاده فاتح,54.3787823,31.895884,3300,muslim,3244104427
حسینیه سلسبیل,54.380738,31.8894217,3302,muslim_shia,3244104438
,54.3915524,31.8298504,3300,muslim,3685735105
