id,left,top,right,bottom
"21248",6056011.291439,3752282.96101881,6056242.23154667,3752082.96101881
"21251",6056011.291439,3751682.96101881,6056242.23154667,3751482.96101881
"21250",6056011.291439,3751882.96101881,6056242.23154667,3751682.96101881
"21253",6056011.291439,3751282.96101881,6056242.23154667,3751082.96101881
"21252",6056011.291439,3751482.96101881,6056242.23154667,3751282.96101881
"21255",6056011.291439,3750882.96101881,6056242.23154667,3750682.96101881
"21254",6056011.291439,3751082.96101881,6056242.23154667,3750882.96101881
"21257",6056011.291439,3750482.96101881,6056242.23154667,3750282.96101881
"21256",6056011.291439,3750682.96101881,6056242.23154667,3750482.96101881
"21259",6056011.291439,3750082.96101881,6056242.23154667,3749882.96101881
"21258",6056011.291439,3750282.96101881,6056242.23154667,3750082.96101881
"21261",6056011.291439,3749682.96101881,6056242.23154667,3749482.96101881
"21260",6056011.291439,3749882.96101881,6056242.23154667,3749682.96101881
"21263",6056011.291439,3749282.96101881,6056242.23154667,3749082.96101881
"21262",6056011.291439,3749482.96101881,6056242.23154667,3749282.96101881
"21265",6056011.291439,3748882.96101881,6056242.23154667,3748682.96101881
"21264",6056011.291439,3749082.96101881,6056242.23154667,3748882.96101881
"21267",6056011.291439,3748482.96101881,6056242.23154667,3748282.96101881
"21266",6056011.291439,3748682.96101881,6056242.23154667,3748482.96101881
"21269",6056011.291439,3748082.96101881,6056242.23154667,3747882.96101881
"21268",6056011.291439,3748282.96101881,6056242.23154667,3748082.96101881
"21271",6056011.291439,3747682.96101881,6056242.23154667,3747482.96101881
"21270",6056011.291439,3747882.96101881,6056242.23154667,3747682.96101881
"21273",6056011.291439,3747282.96101881,6056242.23154667,3747082.96101881
"21272",6056011.291439,3747482.96101881,6056242.23154667,3747282.96101881
"21275",6056011.291439,3746882.96101881,6056242.23154667,3746682.96101881
"21274",6056011.291439,3747082.96101881,6056242.23154667,3746882.96101881
"21277",6056011.291439,3746482.96101881,6056242.23154667,3746282.96101881
"21276",6056011.291439,3746682.96101881,6056242.23154667,3746482.96101881
"21279",6056011.291439,3746082.96101881,6056242.23154667,3745882.96101881
