name,lon,lat,code,fclass,osm_id,x,y,hex_id
مسجد ملّا اسماعیل,54.36316606565358,31.89587349763077,3300,muslim,207024439,6051679.964338725,3749650.153120546,17205.0
مسجد شهید ساداتی,54.3838294171825,31.82984692558054,3302,muslim_shia,286701621,6053980.198109007,3740996.057373301,19432.0
مسجد حظیره,54.37126916515575,31.8979069469909,3302,muslim_shia,295970832,6052581.997249155,3749916.775557854,17983.0
حسینه گازرگاه,54.37377106175301,31.89388055923944,3300,muslim,295984072,6052860.507104379,3749388.848126968,18297.0
مسجد دانشگاه علوم پزشکی,54.34025242768616,31.843144196044324,3302,muslim_shia,364539943,6049129.229827971,3742738.4308867636,15055.0
مسجد ولایت,54.36610212669081,31.826712282421852,3302,muslim_shia,364575611,6052006.805158328,3740585.3540623547,17562.0
,54.35108278416181,31.83995719499154,3300,muslim,364583129,6050334.859595951,3742320.807551531,16149.0
,54.38294090000001,31.8998451,3300,muslim,364627352,6053881.2888286915,3750170.908380901,19230.0
,54.38379735,31.90215475,3300,muslim,366061652,6053976.628406581,3750473.7592989095,19228.0
مسجد جامع یزد,54.368510626939,31.901437456800053,3302,muslim_shia,5705856,6052274.9181795325,3750379.7040164564,17825.0
مسجد امام حسن عسکری,54.36668886030001,31.834367835325345,3302,muslim_shia,384626647,6052072.1200449355,3741588.414943262,17557.0
مسجد ابوالفضل ع,54.35583595109634,31.849790534508163,3302,muslim_shia,424129246,6050863.979718758,3743609.410824084,16611.0
مسجد امام صادق ع,54.35801378647827,31.841781214191005,3302,muslim_shia,425415746,6051106.415244506,3742559.82452772,16772.0
مسجد امام حسین (ع),54.395969948385314,31.812862383075085,3302,muslim_shia,439702158,6055331.675860465,3738770.8967071944,20691.0
مسجد جامع رحمت اباد,54.40181043934521,31.81871112058552,3302,muslim_shia,439703683,6055981.836340103,3739537.0990276802,21155.0
مسجد امیر چخماق,54.36862702045208,31.893650934634955,3302,muslim_shia,554487582,6052287.87504614,3749358.7411593683,17830.0
مصلی یزد,54.3669563744642,31.894990135718487,3300,muslim,554487584,6052101.899585473,3749534.3300370253,17673.0
امامزاده فاضل,54.36965598790486,31.896609899869983,3302,muslim_shia,554489920,6052402.419179027,3749746.708255177,17828.0
حسینیه کوی میرقطب,54.363166052479045,31.895066514913204,3300,muslim,554537741,6051679.962872144,3749544.344545185,17205.0
مسجد الرضا,54.38033069787557,31.84644383529903,3302,muslim_shia,595867616,6053590.722457332,3743170.829488075,18953.0
مسجد,54.363661919039856,31.819246585733488,3302,muslim_shia,596792184,6051735.162485194,3739607.249007906,17410.0
مسجد و مجتمع فرهمگی مذهبی امام علی,54.324444722429625,31.84495106967645,3300,muslim,623073411,6047369.524128203,3742975.2092887247,13494.0
کنیسه ملا آقا بابا ملا حیدر,54.36761126184371,31.90013057115324,3200,jewish,17437312,6052174.801315088,3750208.3401347254,17669.0
مسجد بیاق خان بازار,54.36782154843397,31.896080490676496,3302,muslim_shia,17437313,6052198.210311236,3749677.293429019,17672.0
بقعه سید رکن الدین,54.3697805,31.9010423,3300,muslim,2171811327,6052416.279802055,3750327.889277592,17981.0
مسجد فاطمیه,54.3763754,31.8942159,3302,muslim_shia,2997107797,6053150.420711888,3749432.8160824548,18609.0
امامزاده فاتح,54.3787823,31.895884,3300,muslim,3244104427,6053418.355594277,3749651.5301582883,18765.0
حسینیه سلسبیل,54.380738,31.8894217,3302,muslim_shia,3244104438,6053636.063122422,3748804.243319402,19081.0
,54.3915524,31.8298504,3300,muslim,3685735105,6054839.916623658,3740996.5126020974,20056.0
مسجد امام حسین,54.402186,31.8022268,3300,muslim,3685747297,6056023.643560956,3737377.7274457933,21322.0
مسجد حضرت رقیه,54.3691197,31.8476321,3302,muslim_shia,3686104090,6052342.719882539,3743326.548478566,17860.0
,54.3141559,31.8337187,3300,muslim,3702083423,6046224.177654476,3741503.3594320267,12409.0
مسجد فاطمیه,54.3694627,31.8827036,3302,muslim_shia,4247324452,6052380.902467881,3747923.480994645,17837.0
مسجد برخوردار,54.3657405,31.889149,3302,muslim_shia,4285066063,6051966.54905925,3748768.490310249,17521.0
مسجد رسولیان,54.361857,31.8829742,3302,muslim_shia,4288174726,6051534.239816755,3747958.9561949414,17213.0
مسجد جواد الائمه,54.3714868,31.8298129,3302,muslim_shia,4673135612,6052606.224249195,3740991.599241199,18184.0
مسجد امام هادی,54.367412,31.8075709,3302,muslim_shia,4709930641,6052152.6195881115,3738077.7382087936,17730.0
